"Title","Hull","Class %23","Hull %23","COM Date","TYCOM","FLT","Last Insp Date","Sked Next Inspection","Months from Last Insp/MI","OVERDUE REASON","Overdue_OLD","ACTIVE/INACTIVE","Battle Force","HomePort","UIC","NVR","Waivers","Remarks","AT Date","FCT Date","CT DATE","GMI","MI / SMART 1","MI / SMART 2","MI / SMART 3","MI / SMART 4","MI / SMART 5","MI / SMART 6","MI / SMART 7","MI / SMART 8","MI / SMART 9","MI / SMART 10","Survey","NEP","IT","C51","C51","AT2","C51","C51","FC2","MCI 1","PRT","DECOM Date","SCHEDULED","OVERDUE","CURRENT ORFP PHASE","PHASE MI Scheduled In","CONCERNS/RISKS","Ship Folder"
"AEGIS ASHORE ROMANIA","[""AA""]",,"AA 1",,"[""CNSL""]",,"7/10/2025 9:00 PM",,"6","[""1""]",,"[""ACTIVE""]","[""NO""]",,,"[""NOT ON NVR""]",,,"5/15/2016 9:00 PM",,,,"5/31/2021 9:00 PM","7/10/2025 9:00 PM",,,,,,,,,,,,,,,,,,,,,"NO",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/AEGIS%20ASHORE%20CASE/AEGIS%20ASHORE%20ROMANIA?csf=1&web=1&e=XuXEXJ"
"AEGIS ASHORE POLAND","[""AA""]",,"AA 2",,"[""CNSL""]",,"6/11/2023 9:00 PM","4/19/2026 9:00 PM","31","[""2""]",,"[""ACTIVE""]","[""NO""]",,,"[""NOT ON NVR""]",,,"6/11/2023 9:00 PM",,,,,,,,,,,,,,,,,,,,,,,,,,"YES",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/AEGIS%20ASHORE%20CASE/AEGIS%20ASHORE%20POLAND?csf=1&web=1&e=XxMYyn"
"THOMAS G. THOMPSON","[""AGOR""]","[""AGOR""]","AGOR 23",,"[""ONR""]",,"9/18/2024 9:00 PM",,"16","[""2""]",,"[""ACTIVE""]","[""NO""]",,,"[""LEASED""]",,,,,,,"6/18/2014 9:00 PM","7/31/2019 9:00 PM","9/18/2024 9:00 PM",,,,,,,,,,,,,,,,,,,,"NO",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/AGOR%20CASE/AGOR23_THOMAS_G_THOMPSON?csf=1&web=1&e=kVKYcn"
"ROGER REVELLE","[""AGOR""]","[""AGOR""]","AGOR 24",,"[""ONR""]",,"5/21/2023 9:00 PM",,"31","[""2""]",,"[""ACTIVE""]","[""NO""]","[""PORT LOUIS, MAURITIUS""]",,"[""LEASED""]",,,,,,,"12/20/2017 9:00 PM","5/21/2023 9:00 PM",,,,,,,,,,,,,,,,,,,,,"NO",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/AGOR%20CASE/AGOR24_ROGER_REVELLE?csf=1&web=1&e=fSL95X"
"ATLANTIS","[""AGOR""]","[""AGOR""]","AGOR 25",,"[""ONR""]",,"5/21/2025 9:00 PM",,"7","[""2""]",,"[""ACTIVE""]","[""NO""]","[""WOODS HOLE, MA""]",,"[""LEASED""]",,,"11/14/1996 9:00 PM",,,,"11/14/1996 9:00 PM","1/16/2003 9:00 PM","10/9/2008 9:00 PM","10/21/2012 9:00 PM","8/23/2017 9:00 PM","2/6/2022 9:00 PM","5/21/2025 9:00 PM",,,,,,,,,,,,,,,,"NO",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/AGOR%20CASE/AGOR25_ATLANTIS?csf=1&web=1&e=W0Z3jd"
"KILO MOANA","[""AGOR""]","[""AGOR""]","AGOR 26",,"[""ONR""]",,"12/7/2023 9:00 PM",,"25","[""2""]",,"[""ACTIVE""]","[""NO""]","[""PEARL HARBOR, HI""]",,"[""LEASED""]",,,,,,,"1/10/2018 9:00 PM",,,,,,,,,,,,,,,,,,,,,,"NO",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/AGOR%20CASE/AGOR26_KILO_MOANA?csf=1&web=1&e=BDG3h6"
"NEIL ARMSTRONG","[""AGOR""]","[""AGOR""]","AGOR 27",,"[""ONR""]",,"12/7/2022 9:00 PM","12/14/2025 9:00 PM","37","[""2""]",,"[""ACTIVE""]","[""NO""]","[""WOODS HOLE, MA""]",,"[""LEASED""]",,,,,,,"8/6/2015 9:00 PM","12/19/2018 9:00 PM","12/7/2022 9:00 PM",,,,,,,,,,,,,,,,,,,,"YES","OVERDUE",,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/AGOR%20CASE/AGOR27_NEIL_ARMSTRONG?csf=1&web=1&e=nZSDPa"
"SALLY RIDE","[""AGOR""]","[""AGOR""]","AGOR 28",,"[""ONR""]",,"10/22/2024 9:00 PM",,"14","[""2""]",,"[""ACTIVE""]","[""NO""]","[""SAN DIEGO, CA""]",,"[""LEASED""]",,,,,,,"10/22/2024 9:00 PM",,,,,,,,,,,,,,,,,,,,,,"NO",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/AGOR%20CASE/AGOR28_SALLY_RIDE?csf=1&web=1&e=VEJxU8"
"EMORY S. LAND","[""AS""]","[""AS 39""]","AS 39","6/30/1979 9:00 PM","[""CSL"",""MSC""]",,"9/5/2025 9:00 PM",,"4","[""2""]",,"[""ACTIVE""]","[""Support Force""]","[""GUAM""]","20635","[""PAC""]",,,,,,"10/9/2003 9:00 PM","9/5/2025 9:00 PM",,"3/5/1998 9:00 PM",,,,,,,,,,,,,,,,,,,,"NO",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/AS%20CASE/AS39_EMORY_S_LAND?csf=1&web=1&e=TX31NO"
"FRANK CABLE","[""AS""]","[""AS 39""]","AS 40","10/28/1979 9:00 PM","[""CSP"",""MSC""]",,"4/11/2025 9:00 PM",,"9","[""2""]",,"[""ACTIVE""]","[""Support Force""]","[""GUAM""]","20865","[""PAC""]",,,,,,"6/3/1999 9:00 PM","4/11/2025 9:00 PM",,,,,,,,,,,,,,,,,,,,,,"NO",,,,,"/sites/httpsflankspeed.sharepoint-mil.ussitesUSFF-INSURV-HQ-CUI/AS%20CASE/AS40_FRANK_CABLE?csf=1&web=1&e=nFzAto"
